parent_PID,stim1_name,stim1_file,stim1_pair,stim1_deact_file,stim1_step2_name,stim1_step2_file,stim1_step2_basket_name,stim1_step2_basket_file,stim2_name,stim2_file,stim2_pair,stim2_deact_file,stim2_step2_name,stim2_step2_file,stim2_step2_basket_name,stim2_step2_basket_file,stim3_name,stim3_file,stim3_pair,stim3_deact_file,stim3_step2_name,stim3_step2_file,stim3_step2_basket_name,stim3_step2_basket_file,stim4_name,stim4_file,stim4_pair,stim4_deact_file,stim4_step2_name,stim4_step2_file,stim4_step2_basket_name,stim4_step2_basket_file,stim5_name,stim5_file,stim5_pair,stim5_deact_file,stim5_step2_name,stim5_step2_file,stim5_step2_basket_name,stim5_step2_basket_file,stim6_name,stim6_file,stim6_pair,stim6_deact_file,stim6_step2_name,stim6_step2_file,stim6_step2_basket_name,stim6_step2_basket_file,stim7_name,stim7_file,stim7_pair,stim7_deact_file,stim7_step2_name,stim7_step2_file,stim7_step2_basket_name,stim7_step2_basket_file,stim8_name,stim8_file,stim8_pair,stim8_deact_file,stim8_step2_name,stim8_step2_file,stim8_step2_basket_name,stim8_step2_basket_file,obs_AC_trials,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent_keyresp.keys,consent_keyresp.rt,consent_keyresp.duration,global_instructions1_key.keys,global_instructions1_key.rt,global_instructions1_key.duration,global_instructions2_key.keys,global_instructions2_key.rt,global_instructions2_key.duration,global_instructions3_key.keys,global_instructions3_key.rt,global_instructions3_key.duration,global_instructions4_key.keys,global_instructions4_key.rt,global_instructions4_key.duration,stake_instructions_key.keys,stake_instructions_key.rt,stake_instructions_key.duration,global_instructions5_key.keys,global_instructions5_key.rt,global_instructions5_key.duration,p_fixation_2.started,p_fixation_2.stopped,p_step1_keyresp.keys,p_failStep1_keyresp.keys,p_failStep1_keyresp.rt,p_failStep1_keyresp.duration,p_step1_pair_index,p_step1_stimLeft_name,p_step1_stimLeft_pair,p_step1_stimLeft_reward,p_step1_stimLeft_step2Stim,p_step1_stimLeft_step2Basket,p_step1_stimRight_name,p_step1_stimRight_pair,p_step1_stimRight_reward,p_step1_stimRight_step2Stim,p_step1_stimRight_step2Basket,p_points,t_mult,p_fail_step1,p_fail_step2,p_reward_flag,p_step1_choice,p_step2_stim,p_step2_basket,p_score,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,pair_index,p_mult,p_step1_keyresp.rt,p_step1_keyresp.duration,p_step2_keyresp.keys,p_step2_keyresp.rt,p_step2_keyresp.duration,obs_instructions_1_key.keys,obs_instructions_1_key.rt,obs_instructions_1_key.duration,obs_instructions_2_key.keys,obs_instructions_2_key.rt,obs_instructions_2_key.duration,obs_stim_left,obs_stim_right,obs_step1_key,obs_step1_RT,obs_step2_forest,obs_step2_basket,obs_step2_RT,obs_mult,obs_points,obs_score,obs_AC_flag,obs_AC_step1_flag,obs_AC_step2_flag,obs_AC_mistake_flag,obs_AC_no_answer_flag,obs_AC_step2_no_answer_flag,obs_AC_counter,good_answer,obs_attention_check_fail,obs.thisRepN,obs.thisTrialN,obs.thisN,obs.thisIndex,obs.ran,obs_attention_check_step1_keyresp.keys,obs_attention_check_step1_keyresp.rt,obs_attention_check_step1_keyresp.duration,obs_attention_check_step2_keyresp.keys,obs_attention_check_step2_keyresp.rt,obs_attention_check_step2_keyresp.duration,t_instructions_keyresp.keys,t_instructions_keyresp.rt,t_instructions_keyresp.duration,t_instructions_2_keyresp.keys,t_instructions_2_keyresp.rt,t_instructions_2_keyresp.duration,t_step1_keyresp.keys,t_step1_keyresp.rt,t_step1_keyresp.duration,t_step2_keyresp.keys,t_step2_keyresp.rt,t_step2_keyresp.duration,t_step1_pair_index,t_step1_stimLeft_name,t_step1_stimLeft_pair,t_step1_stimLeft_reward,t_step1_stimLeft_step2Stim,t_step1_stimLeft_step2Basket,t_step1_stimRight_name,t_step1_stimRight_pair,t_step1_stimRight_reward,t_step1_stimRight_step2Stim,t_step1_stimRight_step2Basket,t_points,t_fail_step1,t_fail_step2,t_reward_flag,t_step1_choice,t_step2_stim,t_step2_basket,globa_score,t_data_stimWalk0,t_data_stimWalk1,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_key_resp.keys,break_key_resp.rt,break_key_resp.duration,t_recording.started,t_recording.stopped,pl_global_instructions_keyresp.keys,pl_global_instructions_keyresp.rt,pl_global_instructions_keyresp.duration,pl1_instructions1_keyresp.keys,pl1_instructions1_keyresp.rt,pl1_instructions1_keyresp.duration,pl1_instructions2_keyresp.keys,pl1_instructions2_keyresp.rt,pl1_instructions2_keyresp.duration,pl1_instructions3_keyresp.keys,pl1_instructions3_keyresp.rt,pl1_instructions3_keyresp.duration,pl1_instructions4_keyresp.keys,pl1_instructions4_keyresp.rt,pl1_instructions4_keyresp.duration,pl1_task_lickert.response,pl1_task_lickert.rt,pl1_task_confidence_lickert.response,pl1_task_confidence_lickert.rt,pl1_task_keyresp.keys,pl1_task_keyresp.rt,pl1_task_keyresp.duration,pl1_task_stimLeft,pl1_task_stimRight,pl1_loop.thisRepN,pl1_loop.thisTrialN,pl1_loop.thisN,pl1_loop.thisIndex,pl1_loop.ran,stimLeft_index,stimRight_index,pl2_instructions_keyresp.keys,pl2_instructions_keyresp.rt,pl2_instructions_keyresp.duration,pl2_task_lickert.response,pl2_task_lickert.rt,pl2_task_confidence_lickert.response,pl2_task_confidence_lickert.rt,pl2_task_keyresp.keys,pl2_task_keyresp.rt,pl2_task_keyresp.duration,pl2_task_gnome,pl2_task_forest,pl2_task_basket,pl2_loop.thisRepN,pl2_loop.thisTrialN,pl2_loop.thisN,pl2_loop.thisIndex,pl2_loop.ran,gnome_id,forest_id,end_keyresp.keys,end_keyresp.rt,end_keyresp.duration,passed_attention_check_loop.thisRepN,passed_attention_check_loop.thisTrialN,passed_attention_check_loop.thisN,passed_attention_check_loop.thisIndex,passed_attention_check_loop.ran,show_trials.thisRepN,show_trials.thisTrialN,show_trials.thisN,show_trials.thisIndex,show_trials.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600670,001,2024-10-21_17h33.56.237,experiment,2023.2.3,MacIntel,58.82352941,6713c59ba38a829eb6d2a758,67161eeb597aecbabe02595a,6716817392c2c143f21d7821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,0.373,,space,1.193,,1,blue_gnome,1,5,dark_forest,yellow_basket,red_gnome,1,7,bright_forest,red_basket,7,0,0,1,red_gnome,bright_forest,red_basket,42,0,3,0,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600670,001,2024-10-21_17h33.56.237,experiment,2023.2.3,MacIntel,58.82352941,6713c59ba38a829eb6d2a758,67161eeb597aecbabe02595a,6716817392c2c143f21d7821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,0.359,,space,0.408,,4,pink_gnome,4,8,dark_forest,yellow_basket,green_gnome,4,7,bright_forest,red_basket,8,0,0,1,pink_gnome,dark_forest,yellow_basket,50,0,-1,0,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600670,001,2024-10-21_17h33.56.237,experiment,2023.2.3,MacIntel,58.82352941,6713c59ba38a829eb6d2a758,67161eeb597aecbabe02595a,6716817392c2c143f21d7821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,0.328,,space,0.425,,4,green_gnome,4,7,bright_forest,red_basket,pink_gnome,4,7,dark_forest,yellow_basket,7,0,0,1,green_gnome,bright_forest,red_basket,57,0,-1,0,4,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600670,001,2024-10-21_17h33.56.237,experiment,2023.2.3,MacIntel,58.82352941,6713c59ba38a829eb6d2a758,67161eeb597aecbabe02595a,6716817392c2c143f21d7821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,0.308,,space,0.557,,4,green_gnome,4,7,bright_forest,red_basket,pink_gnome,4,6,dark_forest,yellow_basket,30,0,0,1,pink_gnome,dark_forest,yellow_basket,87,0,3,0,5,5,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600670,001,2024-10-21_17h33.56.237,experiment,2023.2.3,MacIntel,58.82352941,6713c59ba38a829eb6d2a758,67161eeb597aecbabe02595a,6716817392c2c143f21d7821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,0.34,,space,0.275,,4,pink_gnome,4,9,dark_forest,yellow_basket,green_gnome,4,7,bright_forest,red_basket,35,0,0,1,green_gnome,bright_forest,red_basket,122,0,0,0,6,6,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600670,001,2024-10-21_17h33.56.237,experiment,2023.2.3,MacIntel,58.82352941,6713c59ba38a829eb6d2a758,67161eeb597aecbabe02595a,6716817392c2c143f21d7821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,0.288,,space,0.654,,4,green_gnome,4,7,bright_forest,red_basket,pink_gnome,4,9,dark_forest,yellow_basket,7,0,0,1,green_gnome,bright_forest,red_basket,129,1,3,0,7,7,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600670,001,2024-10-21_17h33.56.237,experiment,2023.2.3,MacIntel,58.82352941,6713c59ba38a829eb6d2a758,67161eeb597aecbabe02595a,6716817392c2c143f21d7821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,0.34,,space,0.327,,2,orange_gnome,2,6,dark_forest,yellow_basket,brown_gnome,2,8,bright_forest,red_basket,8,0,0,1,brown_gnome,bright_forest,red_basket,137,-1,2,1,0,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600670,001,2024-10-21_17h33.56.237,experiment,2023.2.3,MacIntel,58.82352941,6713c59ba38a829eb6d2a758,67161eeb597aecbabe02595a,6716817392c2c143f21d7821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,0.229,,space,0.026,,4,green_gnome,4,7,bright_forest,red_basket,pink_gnome,4,8,dark_forest,yellow_basket,7,0,0,1,green_gnome,bright_forest,red_basket,144,5,3,1,1,9,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600670,001,2024-10-21_17h33.56.237,experiment,2023.2.3,MacIntel,58.82352941,6713c59ba38a829eb6d2a758,67161eeb597aecbabe02595a,6716817392c2c143f21d7821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,0.372,,space,0.078,,4,green_gnome,4,6,bright_forest,red_basket,pink_gnome,4,7,dark_forest,yellow_basket,7,0,0,1,pink_gnome,dark_forest,yellow_basket,151,3,-3,1,2,10,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600670,001,2024-10-21_17h33.56.237,experiment,2023.2.3,MacIntel,58.82352941,6713c59ba38a829eb6d2a758,67161eeb597aecbabe02595a,6716817392c2c143f21d7821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,0.439,,space,0.444,,3,yellow_gnome,3,9,bright_forest,red_basket,purple_gnome,3,4,dark_forest,yellow_basket,4,0,0,1,purple_gnome,dark_forest,yellow_basket,155,-2,0,1,3,11,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600670,001,2024-10-21_17h33.56.237,experiment,2023.2.3,MacIntel,58.82352941,6713c59ba38a829eb6d2a758,67161eeb597aecbabe02595a,6716817392c2c143f21d7821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,0.396,,space,0.421,,3,yellow_gnome,3,7,bright_forest,red_basket,purple_gnome,3,4,dark_forest,yellow_basket,4,0,0,1,purple_gnome,dark_forest,yellow_basket,159,-3,1,1,4,12,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600670,001,2024-10-21_17h33.56.237,experiment,2023.2.3,MacIntel,58.82352941,6713c59ba38a829eb6d2a758,67161eeb597aecbabe02595a,6716817392c2c143f21d7821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,0.389,,space,0.253,,4,green_gnome,4,4,bright_forest,red_basket,pink_gnome,4,5,dark_forest,yellow_basket,20,0,0,1,green_gnome,bright_forest,red_basket,179,-2,-1,1,5,13,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600670,001,2024-10-21_17h33.56.237,experiment,2023.2.3,MacIntel,58.82352941,6713c59ba38a829eb6d2a758,67161eeb597aecbabe02595a,6716817392c2c143f21d7821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,0.339,,space,0.338,,1,red_gnome,1,2,bright_forest,red_basket,blue_gnome,1,4,dark_forest,yellow_basket,10,0,0,1,red_gnome,bright_forest,red_basket,189,2,1,1,6,14,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600670,001,2024-10-21_17h33.56.237,experiment,2023.2.3,MacIntel,58.82352941,6713c59ba38a829eb6d2a758,67161eeb597aecbabe02595a,6716817392c2c143f21d7821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,0.364,,space,0.394,,3,purple_gnome,3,5,dark_forest,yellow_basket,yellow_gnome,3,4,bright_forest,red_basket,25,0,0,1,purple_gnome,dark_forest,yellow_basket,214,0,0,1,7,15,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600670,001,2024-10-21_17h33.56.237,experiment,2023.2.3,MacIntel,58.82352941,6713c59ba38a829eb6d2a758,67161eeb597aecbabe02595a,6716817392c2c143f21d7821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,0.347,,space,0.126,,4,green_gnome,4,4,bright_forest,red_basket,pink_gnome,4,5,dark_forest,yellow_basket,20,0,0,1,green_gnome,bright_forest,red_basket,234,4,2,2,0,16,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600670,001,2024-10-21_17h33.56.237,experiment,2023.2.3,MacIntel,58.82352941,6713c59ba38a829eb6d2a758,67161eeb597aecbabe02595a,6716817392c2c143f21d7821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,0.322,,space,0.07,,3,yellow_gnome,3,8,bright_forest,red_basket,purple_gnome,3,7,dark_forest,yellow_basket,8,0,0,1,yellow_gnome,bright_forest,red_basket,242,1,1,2,1,17,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600670,001,2024-10-21_17h33.56.237,experiment,2023.2.3,MacIntel,58.82352941,6713c59ba38a829eb6d2a758,67161eeb597aecbabe02595a,6716817392c2c143f21d7821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,0.39,,space,0.31,,3,purple_gnome,3,8,dark_forest,yellow_basket,yellow_gnome,3,9,bright_forest,red_basket,40,0,0,1,purple_gnome,dark_forest,yellow_basket,282,3,-1,2,2,18,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600670,001,2024-10-21_17h33.56.237,experiment,2023.2.3,MacIntel,58.82352941,6713c59ba38a829eb6d2a758,67161eeb597aecbabe02595a,6716817392c2c143f21d7821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,0.439,,space,0.538,,4,green_gnome,4,6,bright_forest,red_basket,pink_gnome,4,7,dark_forest,yellow_basket,7,0,0,1,pink_gnome,dark_forest,yellow_basket,289,3,1,2,3,19,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600670,001,2024-10-21_17h33.56.237,experiment,2023.2.3,MacIntel,58.82352941,6713c59ba38a829eb6d2a758,67161eeb597aecbabe02595a,6716817392c2c143f21d7821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,0.489,,space,0.286,,1,blue_gnome,1,8,dark_forest,yellow_basket,red_gnome,1,9,bright_forest,red_basket,45,0,0,1,red_gnome,bright_forest,red_basket,334,1,0,2,4,20,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600670,001,2024-10-21_17h33.56.237,experiment,2023.2.3,MacIntel,58.82352941,6713c59ba38a829eb6d2a758,67161eeb597aecbabe02595a,6716817392c2c143f21d7821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,0.356,,space,0.371,,3,purple_gnome,3,8,dark_forest,yellow_basket,yellow_gnome,3,8,bright_forest,red_basket,40,0,0,1,purple_gnome,dark_forest,yellow_basket,374,-1,1,2,5,21,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600670,001,2024-10-21_17h33.56.237,experiment,2023.2.3,MacIntel,58.82352941,6713c59ba38a829eb6d2a758,67161eeb597aecbabe02595a,6716817392c2c143f21d7821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,0.463,,space,0.288,,3,purple_gnome,3,9,dark_forest,yellow_basket,yellow_gnome,3,7,bright_forest,red_basket,45,0,0,1,purple_gnome,dark_forest,yellow_basket,419,-2,1,2,6,22,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600670,001,2024-10-21_17h33.56.237,experiment,2023.2.3,MacIntel,58.82352941,6713c59ba38a829eb6d2a758,67161eeb597aecbabe02595a,6716817392c2c143f21d7821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,0.51,,space,0.307,,2,brown_gnome,2,5,bright_forest,red_basket,orange_gnome,2,8,dark_forest,yellow_basket,25,0,0,1,brown_gnome,bright_forest,red_basket,444,0,-3,2,7,23,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600670,001,2024-10-21_17h33.56.237,experiment,2023.2.3,MacIntel,58.82352941,6713c59ba38a829eb6d2a758,67161eeb597aecbabe02595a,6716817392c2c143f21d7821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,0.456,,space,0.321,,3,purple_gnome,3,5,dark_forest,yellow_basket,yellow_gnome,3,5,bright_forest,red_basket,5,0,0,1,purple_gnome,dark_forest,yellow_basket,449,0,-1,3,0,24,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600670,001,2024-10-21_17h33.56.237,experiment,2023.2.3,MacIntel,58.82352941,6713c59ba38a829eb6d2a758,67161eeb597aecbabe02595a,6716817392c2c143f21d7821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,0.478,,space,0.321,,1,red_gnome,1,5,bright_forest,red_basket,blue_gnome,1,4,dark_forest,yellow_basket,20,0,0,1,blue_gnome,dark_forest,yellow_basket,469,-1,1,3,1,25,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600670,001,2024-10-21_17h33.56.237,experiment,2023.2.3,MacIntel,58.82352941,6713c59ba38a829eb6d2a758,67161eeb597aecbabe02595a,6716817392c2c143f21d7821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,0.457,,space,0.289,,4,green_gnome,4,4,bright_forest,red_basket,pink_gnome,4,5,dark_forest,yellow_basket,25,0,0,1,pink_gnome,dark_forest,yellow_basket,494,0,4,3,2,26,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
